Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Blad spawarki robota 4","MX70.0",Boolean,1,R/W,100,,,,,,,,,,"",
"Blad spawarki robota 5","MX70.1",Boolean,1,R/W,100,,,,,,,,,,"",
"Brak drutu R4","MX71.0",Boolean,1,R/W,100,,,,,,,,,,"",
"Brak drutu R5","MX71.2",Boolean,1,R/W,100,,,,,,,,,,"",
"F_Brak wody","MX39.0",Boolean,1,R/W,100,,,,,,,,,,"",
"Flanke_ZähleR4","MX12.6",Boolean,1,R/W,100,,,,,,,,,,"Flanke Zählen Fräsen R4",
"FP_Czyszcznie palnika","MX47.0",Boolean,1,R/W,100,,,,,,,,,,"",
"FP_Reset beczki R4","MX71.1",Boolean,1,R/W,100,,,,,,,,,,"",
"FP_Reset beczki R5","MX71.3",Boolean,1,R/W,100,,,,,,,,,,"",
"HmFpKuehlwasserRueckzug","MX4.1",Boolean,1,R/W,100,,,,,,,,,,"",
"HmFpLeerf","MX4.5",Boolean,1,R/W,100,,,,,,,,,,"Hm Leerfahren",
"HmFpMitOhneStrom","MX4.3",Boolean,1,R/W,100,,,,,,,,,,"Mit/Ohne Strom",
"IbR1PunktNr","IBYTE408",Byte,1,R/W,100,,,,,,,,,,"R1: Punktnummer",
"IbR1SchrittNr","IBYTE409",Byte,1,R/W,100,,,,,,,,,,"R1: Aktuelle Schrittnummer",
"IbR2PunktNr","IBYTE428",Byte,1,R/W,100,,,,,,,,,,"R2: Punktnummer",
"IbR2SchrittNr","IBYTE429",Byte,1,R/W,100,,,,,,,,,,"R2: Aktuelle Schrittnummer",
"IbR3Greifer_EB454","IBYTE454",Byte,1,R/W,100,,,,,,,,,,"R3: Greifer Ansteuerung Greifer von Roboter",
"IbR3Greifer_EB456","IBYTE456",Byte,1,R/W,100,,,,,,,,,,"R3: Eingänge Greifer",
"IbR3Greifer_EB457","IBYTE457",Byte,1,R/W,100,,,,,,,,,,"R3: Eingänge Greifer",
"IbR4ErrFr","IBYTE475",Byte,1,R/W,100,,,,,,,,,,"R4: Error Fronius",
"IbR4NahtNr","IBYTE468",Byte,1,R/W,100,,,,,,,,,,"R1: Nahtnummer",
"IbR4SchrittNr","IBYTE469",Byte,1,R/W,100,,,,,,,,,,"R4: Aktuelle Schrittnummer",
"IbR5ErrFr","IBYTE495",Byte,1,R/W,100,,,,,,,,,,"R5: Error Fronius",
"IbR5NahtNr","IBYTE488",Byte,1,R/W,100,,,,,,,,,,"R5: Nahtnummer",
"IbR5SchrittNr","IBYTE489",Byte,1,R/W,100,,,,,,,,,,"R5: Aktuelle Schrittnummer",
"IxAB_1-3A0:1/2","IX16.1",Boolean,1,R/W,100,,,,,,,,,,"Bauteil vorhanden Ende Band 1",
"IxAB_1-3A0:1/4","IX16.0",Boolean,1,R/W,100,,,,,,,,,,"Bauteil vorhanden Anfang Band 1",
"IxAB_1-3A0:2/2","IX16.3",Boolean,1,R/W,100,,,,,,,,,,"Bauteil vorhanden  Ende Band 2",
"IxAB_1-3A0:2/4","IX16.2",Boolean,1,R/W,100,,,,,,,,,,"Bauteil vorhanden Anfang Band 2",
"IxAB_1-5SH3","IX17.0",Boolean,1,R/W,100,,,,,,,,,,"Auslaufband Start rechts",
"IxAB_1-5SH4","IX17.1",Boolean,1,R/W,100,,,,,,,,,,"Auslaufband  Start links",
"IxAB-E17_2","IX17.2",Boolean,1,R/W,100,,,,,,,,,,"Czujnik drutu R4",
"IxAB-E17_3","IX17.3",Boolean,1,R/W,100,,,,,,,,,,"Czujnik drutu R5",
"IxBED-1S4","IX4.3",Boolean,1,R/W,100,,,,,,,,,,"Stapleranforderung",
"IxBED-1S5","IX5.1",Boolean,1,R/W,100,,,,,,,,,,"mit ohne Strom",
"IxBED-1S7","IX5.2",Boolean,1,R/W,100,,,,,,,,,,"Bauteil niO quittieren",
"IxBED-1S8","IX5.3",Boolean,1,R/W,100,,,,,,,,,,"Standmengenzähler Reset",
"IxBED-1SH1","IX4.0",Boolean,1,R/W,100,,,,,,,,,,"Störung Not-Aus quittieren",
"IxBED-1SH2","IX4.1",Boolean,1,R/W,100,,,,,,,,,,"Automatik ein",
"IxBED-1SH3","IX4.2",Boolean,1,R/W,100,,,,,,,,,,"Grundstellung",
"IxBED-1SH5","IX5.0",Boolean,1,R/W,100,,,,,,,,,,"Start Roboter",
"IxBED-2S1","IX18.0",Boolean,1,R/W,100,,,,,,,,,,"Bauteil Prozesskontrolle",
"IxBED-4S1","IX200.0",Boolean,1,R/W,100,,,,,,,,,,"Not-Aus Anlage",
"IxBED-4S3:14","IX206.3",Boolean,1,R/W,100,,,,,,,,,,"Automatik Einrichten",
"IxBED-5SH1","IX10.0",Boolean,1,R/W,100,,,,,,,,,,"Start links",
"IxBED-5SH2","IX10.1",Boolean,1,R/W,100,,,,,,,,,,"Start rechts",
"IxHIP-1A0:1/2","IX13.1",Boolean,1,R/W,100,,,,,,,,,,"Durchfluss Thyristoren",
"IxHIP-1A0:1/4","IX13.0",Boolean,1,R/W,100,,,,,,,,,,"Druckluft Vorhanden",
"IxHIP-1A0:2/2","IX13.3",Boolean,1,R/W,100,,,,,,,,,,"Durchfluss Schweißzange Roboter 2",
"IxHIP-1A0:2/4","IX13.2",Boolean,1,R/W,100,,,,,,,,,,"Durchfluss Schweißzange Roboter 1",
"IxKF1-1A1","IX3.1",Boolean,1,R/W,100,,,,,,,,,,"Thermoschutz Fräser 1",
"IxKF2-1A1","IX3.2",Boolean,1,R/W,100,,,,,,,,,,"Thermoschutz Fräser 2",
"IxKW1-1A0:1/2","IX8.1",Boolean,1,R/W,100,,,,,,,,,,"Kappenfüllstand Spur 2",
"IxKW1-1A0:1/4","IX8.0",Boolean,1,R/W,100,,,,,,,,,,"Kappenfüllstand Spur 1",
"IxKW1-1A0:2/2","IX8.3",Boolean,1,R/W,100,,,,,,,,,,"Trennschieber auf",
"IxKW1-1A0:2/4","IX8.2",Boolean,1,R/W,100,,,,,,,,,,"Kontrolle Kappenaufnahme",
"IxKW1-1A0:3/2","IX9.1",Boolean,1,R/W,100,,,,,,,,,,"Drehabfrage",
"IxKW1-1A0:3/4","IX9.0",Boolean,1,R/W,100,,,,,,,,,,"Trennschieber zu",
"IxKW1-E9_2","IX9.2",Boolean,1,R/W,100,,,,,,,,,,"Czujnik frezowania R1",
