Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data sType,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"tabIB0","IB0[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB16","IB16[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB96","IB96[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB112","IB112[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB128","IB128[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB144","IB144[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB192","IB192[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB288","IB288[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB304","IB304[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB320","IB320[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB336","IB336[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB352","IB352[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB368","IB368[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB384","IB384[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB400","IB400[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB416","IB416[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB432","IB432[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB448","IB448[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB464","IB464[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabIB480","IB480[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB0","MB0[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB16","MB16[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB32","MB32[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB48","MB48[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB64","MB64[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB80","MB80[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB96","MB96[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB112","MB112[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabMB128","MB128[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB0","QB0[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB16","QB16[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB96","QB96[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB112","QB112[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB128","QB128[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB144","QB144[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB224","QB224[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB288","QB288[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB304","QB304[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB320","QB320[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB336","QB336[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB352","QB352[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB368","QB368[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB384","QB384[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB400","QB400[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB416","QB416[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB432","QB432[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB448","QB448[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB464","QB464[16]",Byte Array,1,R,100,,,,,,,,,,"",
"tabQB480","QB480[16]",Byte Array,1,R,100,,,,,,,,,,"",
